Cat no.,Description,Colour,Price (Rs.)
C5908 .01,Dimmer for LED Lights 100W (3 wire system) - 1 Module,Frost White,663
C5909 .01,Dimmer for LED Lights Digital Choke 100W (4 Wire system) - 2 Module,Frost White,865
C5900 .02,Fan Regulator for 80W fan - Step Type with Bar Knob - 2 Module,Quartz Gray,1327
C5901 .02,Fan Regulator for 80W fan - Step Type with Round Knob - 2 Module,Quartz Gray,1268
C5910 .02,Fan Regulator for 120W fan - Step Type with Bar Knob - 2 Module,Quartz Gray,1459
C5911 .02,Fan Regulator for 120W fan - Step Type with Round Knob - 2 Module,Quartz Gray,1406
C5912 .02,Fan Regulator for 120W fan - 8-Step Type with Bar Knob - 2 Module,Quartz Gray,1488
C5913 .02,Fan Regulator for 120W fan - 8-Step Type with Round Knob - 2 Module,Quartz Gray,1435
C5902 .02,Dimmer 500 Watts - 2 Module,Quartz Gray,1067
C5903 .02,Dimmer 1000 Watts - 2 Module,Quartz Gray,1495
C5904 .02,Fan Regulator Single Module for 80W Fan - Step Type - 1 Module,Quartz Gray,870
C5905 .02,Dimmer 500 Watts - 1 Module,Quartz Gray,822
C5908 .02,Dimmer for LED Lights 100W (3 wire system) - 1 Module,Quartz Gray,817
C5909 .02,Dimmer for LED Lights Digital Choke 100W (4 Wire system) - 2 Module,Quartz Gray,1067
C5900 .17,Fan Regulator for 80W fan - Step Type with Bar Knob - 2 Module,Charcoal Black,1464
C5901 .17,Fan Regulator for 80W fan - Step Type with Round Knob - 2 Module,Charcoal Black,1403
C5910 .17,Fan Regulator for 120W fan - Step Type with Bar Knob - 2 Module,Charcoal Black,1611
C5911 .17,Fan Regulator for 120W fan - Step Type with Round Knob - 2 Module,Charcoal Black,1550
C5912 .17,Fan Regulator for 120W fan - 8-Step Type with Bar Knob - 2 Module,Charcoal Black,1643
C5913 .17,Fan Regulator for 120W fan - 8-Step Type with Round Knob - 2 Module,Charcoal Black,1581
C5902 .17,Dimmer 500 Watts - 2 Module,Charcoal Black,1177
C5903 .17,Dimmer 1000 Watts - 2 Module,Charcoal Black,1647
C5904 .17,Fan Regulator Single Module for 80W Fan - Step Type - 1 Module,Charcoal Black,964
C5905 .17,Dimmer 500 Watts - 1 Module,Charcoal Black,907
C5908 .17,Dimmer for LED Lights 100W (3 wire system) - 1 Module,Charcoal Black,903
C5909 .17,Dimmer for LED Lights Digital Choke 100W (4 Wire system) - 2 Module,Charcoal Black,1177
C5707 .01,Electronic Bell - 2 Module,Frost White,675
C5727 .01,Indicator Light - 1 Module,Frost White,307
C5703 .01,Prismatic Overdoor Bulkhead Indicator - White - 2 Module ,Frost White,615
C5704 .01,Prismatic Overdoor Bulkhead Indicator - Green - 2 Module ,Frost White,635
C5705 .01,Prismatic Overdoor Bulkhead Indicator - Red - 2 Module,Frost White,635
C5505 .01,Prismatic Overdoor Bulkhead Indicator - Resettable - 2 Module,Frost White,960
C5715 .01,Emergency Light - 2 Module,Frost White,1642
C5706 .01,Speaker for audio music circuit - 2 Module ,Frost White,1194
C5716 .01,Night Light with switch and dimming option - 2 Module,Frost White,1042
C5721 .01,Step Marker Lamp/ Night Lamp - 2 Module,Frost White,688
C5709 .01,Electronic Buzzer - 2 Module,Frost White,611
C5710 .01,Electronic Buzzer - 1 Module,Frost White,542
C5708 .01,Ultrasonic Mosquito Repellent - 2 Module ,Frost White,966
C5707 .02,Electronic Bell - 2 Module,Quartz Gray,842
C5727 .02,Indicator Light - 1 Module,Quartz Gray,381
C5703 .02,Prismatic Overdoor Bulkhead Indicator - White - 2 Module ,Frost White,615
C5704 .02,Prismatic Overdoor Bulkhead Indicator - Green - 2 Module ,Frost White,635
C5705 .02,Prismatic Overdoor Bulkhead Indicator - Red - 2 Module,Frost White,635
C5505 .02,Prismatic Overdoor Bulkhead Indicator - Resettable - 2 Module,Frost White,960
C5715 .02,Emergency Light - 2 Module,Quartz Gray,2042
C5706 .02,Speaker for audio music circuit - 2 Module ,Quartz Gray,1483
C5716 .02,Night Light with switch and dimming option - 2 Module,Quartz Gray,1296
C5721 .02,Step Marker Lamp/ Night Lamp - 2 Module,Quartz Gray,854
C5709 .02,Electronic Buzzer - 2 Module,Quartz Gray,761
C5710 .02,Electronic Buzzer - 1 Module,Quartz Gray,672
C5708 .02,Ultrasonic Mosquito Repellent - 2 Module ,Quartz Gray,1203
C5707 .17,Electronic Bell - 2 Module,Charcoal Black,911
C5727 .17,Indicator Light - 1 Module,Charcoal Black,415
C5703 .17,Prismatic Overdoor Bulkhead Indicator - White - 2 Module ,Frost White,615
C5704 .17,Prismatic Overdoor Bulkhead Indicator - Green - 2 Module ,Frost White,635
C5705 .17,Prismatic Overdoor Bulkhead Indicator - Red - 2 Module,Frost White,635
C5505 .17,Prismatic Overdoor Bulkhead Indicator - Resettable - 2 Module,Frost White,960
C5715 .17,Emergency Light - 2 Module,Charcoal Black,2212
C5706 .17,Speaker for audio music circuit - 2 Module ,Charcoal Black,1609
C5716 .17,Night Light with switch and dimming option - 2 Module,Charcoal Black,1403
C5721 .17,Step Marker Lamp/ Night Lamp - 2 Module,Charcoal Black,927
C5709 .17,Electronic Buzzer - 2 Module,Charcoal Black,825
C5710 .17,Electronic Buzzer - 1 Module,Charcoal Black,731
C5708 .17,Ultrasonic Mosquito Repellent - 2 Module ,Charcoal Black,1302
C5717 .01,25A Smart Card operated Electronic switch in 2 Module with indicator & exit time delay feature including Smart Card - 2 Module,Frost White,3070
C5718 .01,30A Smart Card operated Electronic switch in 3 Module with indicator & exit time delay feature including Smart Card - 3 Module,Frost White,2948
C5724 .01,Smart Card - Customized,Frost White,222
C5719 .01,25A Key Fob Switch Double Pole with indicator - 2 Module,Frost White,1436
C5720 .01,Key Fob - Customized,Frost White,227
C5723 .01,Shaver Socket 220V/110V - 3 Module,Frost White,2799
C5711 .01,Call Bell Station with Register and provision of External Buzzer- 2 Module,Frost White,1587
