Cat no.,Description,Colour,Price (Rs.)
S7212 .23,Socket 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module,Graphite Gray,341
S7412 .23,Socket 6A 3+2 Pin And 2 pin Shuttered - 2 Module,Graphite Gray,481
S1010 .23,Socket 6A 2 Pin [Round & Flat] - 1 Module,Graphite Gray,227
S7532 .23,Socket 13A International Multi socket Shuttered - 2 Module,Graphite Gray,459
S7531 .23,Socket 13A 3-Pin Flat Socket Shuttered - 2 Module,Graphite Gray,441
S7732 .23,Socket 25A/6A 3-Pin Shuttered - 2 Module,Graphite Gray,515
S7900 .01,Fan Regulator Step Type with Bar Knob for 80W fan - 2 Module,Frost White,1007
S7901 .01,Fan Regulator Step Type with Round Knob for 80W fan - 2 Module,Frost White,958
S7910 .01,Fan Regulator Step Type with Bar Knob for 120W fan - 2 Module,Frost White,1107
S7911 .01,Fan Regulator Step Type with Round Knob for 120W fan - 2 Module,Frost White,1054
S7912 .01,Fan Regulator 8-Step Type with Bar Knob for 120W fan - 2 Module,Frost White,1129
S7913 .01,Fan Regulator 8-Step Type with Round Knob for 120W fan - 2 Module,Frost White,1078
S7902 .01,Dimmer 500 Watts - 2 Module,Frost White,796
S7903 .01,Dimmer 1000 Watts - 2 Module,Frost White,1091
S7904 .01,Fan Regulator Single Module for 80W Fan - Step Type - 1 Module,Frost White,561
S7905 .01,Dimmer 500 Watts - 1 Module,Frost White,598
S7908 .01,Dimmer for LED Lights (3 wire system) - 1 Module,Frost White,594
S7900 .23,Fan Regulator Step Type with Bar Knob for 80W fan - 2 Module,Graphite Gray,1208
S7901 .23,Fan Regulator Step Type with Round Knob for 80W fan - 2 Module,Graphite Gray,1151
S7910 .23,Fan Regulator Step Type with Bar Knob for 120W fan - 2 Module,Graphite Gray,1330
S7911 .23,Fan Regulator Step Type with Round Knob for 120W fan - 2 Module,Graphite Gray,1266
S7912 .23,Fan Regulator 8-Step Type with Bar Knob for 120W fan - 2 Module,Graphite Gray,1356
S7913 .23,Fan Regulator 8-Step Type with Round Knob for 120W fan - 2 Module,Graphite Gray,1294
S7902 .23,Dimmer 500 Watts - 2 Module,Graphite Gray,956
S7903 .23,Dimmer 1000 Watts - 2 Module,Graphite Gray,1311
S7904 .23,Fan Regulator Single Module for 80W Fan - Step Type - 1 Module,Graphite Gray,675
S7905 .23,Dimmer 500 Watts - 1 Module,Graphite Gray,719
S7908 .23,Dimmer for LED Lights (3 wire system) - 1 Module,Graphite Gray,713
S7797 .01,Coaxial T.V Socket - 1 Module,Frost White,196
S7800 .01,Telephone Socket RJ-11 Double Line Shuttered - 1 Module,Frost White,204
S7820 .01,Twin Telephone Socket RJ-11 - 1 Module,Frost White,270
S7802 .01,Information Socket 6e - UTP Shuttered - 1 Module,Frost White,688
S7100 .01,Information Socket 6a - UTP Shuttered - 1 Module,Frost White,1182
S7725 .01,USB Extension Socket - 1 Module,Frost White,541
S7736 .01,USB Charger Socket Outlet A Type - 2.1 Amps. - 1 Module,Frost White,2403
S7836 .01,USB Charger Socket Outlet C Type - 2.1 Amps. - 1 Module,Frost White,2657
S7936 .01,USB Charger Socket Outlet A+C Type - 2.1 Amps. - 1 Module,Frost White,2897
S7837 .01,USB Charger Socket Outlet C Type - 3.1 Amps. - 1 Module,Frost White,2837
S7938 .01,USB Charger Socket Outlet A+C Type - 3.1 Amps. - 1 Module,Frost White,3069
S7939 .01,USB Charger Socket Outlet C+C Type - 3.1 Amps. - 1 Module,Frost White,3211
S7729 .01,Computer Monitor Output Socket - 1 Module,Frost White,352
S7101 .01,Fitment for RJ-45 Computer Socket Shuttered - 1 Module,Frost White,218
S7600 .01,Indicator Light - 1 Module,Frost White,125
S7797 .23,Coaxial T.V Socket - 1 Module,Graphite Gray,268
S7800 .23,Telephone Socket RJ-11 Double Line Shuttered - 1 Module,Graphite Gray,245
S7820 .23,Twin Telephone Socket RJ-11 - 1 Module,Graphite Gray,324
S7802 .23,Information Socket 6e - UTP Shuttered - 1 Module,Graphite Gray,827
S7100 .23,Information Socket 6a - UTP Shuttered - 1 Module,Graphite Gray,1430
S7725 .23,USB Extension Socket - 1 Module,Graphite Gray,649
S7736 .23,USB Charger Socket Outlet A Type - 2.1 Amps. - 1 Module,Graphite Gray,2858
S7836 .23,USB Charger Socket Outlet C Type - 2.1 Amps. - 1 Module,Graphite Gray,3159
S7936 .23,USB Charger Socket Outlet A+C Type - 2.1 Amps. - 1 Module,Graphite Gray,3444
S7837 .23,USB Charger Socket Outlet C Type - 3.1 Amps. - 1 Module,Graphite Gray,3373
S7938 .23,USB Charger Socket Outlet A+C Type - 3.1 Amps. - 1 Module,Graphite Gray,3650
S7939 .23,USB Charger Socket Outlet C+C Type - 3.1 Amps. - 1 Module,Graphite Gray,3821
S7729 .23,Computer Monitor Output Socket - 1 Module,Graphite Gray,422
S7101 .23,Fitment for RJ-45 Computer Socket Shuttered - 1 Module,Graphite Gray,262
S7600 .23,Indicator Light - 1 Module,Graphite Gray,150
S7232 .01,"""Do Not Disturb"" Switch with indicator (Collarless Style) - 1 Module",Frost White,385
S7233 .01,"""Clean My Room"" Switch with indicator (Collarless Style) - 1 Module",Frost White,385
S8232 .01,"""Do Not Disturb"" Switch with indicator (Collar Style) - 1 Module",Frost White,368
S8233 .01,"""Clean My Room"" Switch with indicator (Collar Style) - 1 Module",Frost White,368
S7262 .01,"Bell Switch with ""Do Not Disturb"" and ""Clean My Room"" indicator - 2M",Frost White,623
S7711 .01,Call Bell Station with Register and Provision for External Buzzer - 2 M,Frost White,1475
S7719 .01,25A Key Fob Switch Double Pole with indicator - 2 Module,Frost White,1200
S7720 .01,Key Fob - Customized,Frost White,213
S7723 .01,Shaver Socket 220V / 110V with transformer - 2 Module,Frost White,996
S7450 .01,Push Button Station Start - Stop (Collorless Style) - 2 Module,Frost White,535
S7460 .01,Push Button Station Open - Close (Collorless Style) - 2 Module,Frost White,595
S7232 .23,"""Do Not Disturb"" Switch with indicator (Collarless Style) - 1 Module",Graphite Gray,462
S7233 .23,"""Clean My Room"" Switch with indicator (Collarless Style) - 1 Module",Graphite Gray,462
S7262 .23,"Bell Switch with ""Do Not Disturb"" and ""Clean My Room"" indicator - 2M",Graphite Gray,749
S7711 .23,Call Bell Station with Register and Provision for External Buzzer - 2 M,Graphite Gray,1770
S7719 .23,25A Key Fob Switch Double Pole with indicator - 2 Module,Graphite Gray,1440
S7720 .23,Key Fob - Customized,Graphite Gray,255
S7723 .23,Shaver Socket 220V / 110V with transformer - 2 Module,Graphite Gray,1195
S7450 .23,Push Button Station Start - Stop (Collorless Style) - 2 Module,Graphite Gray,642
S7460 .23,Push Button Station Open - Close (Collorless Style) - 2 Module,Graphite Gray,716
S7706 .01,Speaker for audio music circuit - 2 Module,Frost White,1202
S7707 .01,Electronic Bell - 2 Module,Frost White,681
S7709 .01,Electronic Buzzer - 2 Module,Frost White,609
S7721 .01,Step Marker Lamp / Night Lamp - 2 Module,Frost White,628
S7798 .01,Audio Port / Jack 3.5mm - 1 Module,Frost White,416
S7706 .23,Speaker for audio music circuit - 2 Module,Graphite Gray,1442
S7707 .23,Electronic Bell - 2 Module,Graphite Gray,818
S7709 .23,Electronic Buzzer - 2 Module,Graphite Gray,733
S7721 .23,Step Marker Lamp / Night Lamp - 2 Module,Graphite Gray,755
S7798 .23,Audio Port / Jack 3.5mm - 1 Module,Graphite Gray,499
S7500 .01,Cord Outlet - 1 Module,Frost White,135
S7700 .01,Blanking Plate - 1 Module,Frost White,47
S7500 .23,Cord Outlet - 1 Module,Graphite Gray,161
S7700 .23,Blanking Plate - 1 Module,Graphite Gray,54
S7601 .01,1M Plate - for 75mm x 75mm box (3x3),Frost White,150
S7602 .01,2M Plate - for 75mm x 75mm box (3x3),Frost White,150
S7633 .01,3M Plate - for 100mm x 75mm box (4x3),Frost White,171
S7631 .01,1M Plate - for 100mm x 75mm box (4x3),Frost White,171
S7632 .01,2M Plate - for 100mm x 75mm box (4x3),Frost White,171
S7604 .01,4M Plate - for 135mm x 75mm box (5x3),Frost White,187
S7606 .01,6M Plate - for 210mm x 75mm box (8x3),Frost White,312
S7608 .01,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Frost White,371
S7609 .01,8M (V) Plate - for 135mm x 140mm box (5x5),Frost White,435
S7612 .01,12M Plate - for 140mm x 210mm box (8x6),Frost White,515
S7618 .01,18M Plate - for 210mm x 210mm box (8x8),Frost White,674
S7601 .27,1M Plate - for 75mm x 75mm box (3x3),Wood Finish,497
S7602 .27,2M Plate - for 75mm x 75mm box (3x3),Wood Finish,497
S7633 .27,3M Plate - for 100mm x 75mm box (4x3),Wood Finish,562
S7631 .27,1M Plate - for 100mm x 75mm box (4x3),Wood Finish,562
S7632 .27,2M Plate - for 100mm x 75mm box (4x3),Wood Finish,562
S7604 .27,4M Plate - for 135mm x 75mm box (5x3),Wood Finish,619
S7606 .27,6M Plate - for 210mm x 75mm box (8x3),Wood Finish,1034
S7608 .27,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Wood Finish,1229
S7609 .27,8M (V) Plate - for 135mm x 140mm box (5x5),Wood Finish,1441
S7612 .27,12M Plate - for 140mm x 210mm box (8x6),Wood Finish,1707
S7618 .27,18M Plate - for 210mm x 210mm box (8x8),Wood Finish,2235
S7601 .23,1M Plate - for 75mm x 75mm box (3x3),Graphite Gray,216
S7602 .23,2M Plate - for 75mm x 75mm box (3x3),Graphite Gray,216
S7633 .23,3M Plate - for 100mm x 75mm box (4x3),Graphite Gray,244
S7631 .23,1M Plate - for 100mm x 75mm box (4x3),Graphite Gray,244
S7632 .23,2M Plate - for 100mm x 75mm box (4x3),Graphite Gray,244
S7604 .23,4M Plate - for 135mm x 75mm box (5x3),Graphite Gray,266
S7606 .23,6M Plate - for 210mm x 75mm box (8x3),Graphite Gray,444
S7608 .23,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Graphite Gray,529
S7609 .23,8M (V) Plate - for 135mm x 140mm box (5x5),Graphite Gray,620
S7612 .23,12M Plate - for 140mm x 210mm box (8x6),Graphite Gray,734
S7618 .23,18M Plate - for 210mm x 210mm box (8x8),Graphite Gray,959
S7601 .25,1M Plate - for 75mm x 75mm box (3x3),Cocoa Brown ,219
S7602 .25,2M Plate - for 75mm x 75mm box (3x3),Cocoa Brown ,219
S7633 .25,3M Plate - for 100mm x 75mm box (4x3),Cocoa Brown ,247
S7631 .25,1M Plate - for 100mm x 75mm box (4x3),Cocoa Brown ,247
S7632 .25,2M Plate - for 100mm x 75mm box (4x3),Cocoa Brown ,247
S7604 .25,4M Plate - for 135mm x 75mm box (5x3),Cocoa Brown ,270
S7606 .25,6M Plate - for 210mm x 75mm box (8x3),Cocoa Brown ,451
S7608 .25,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Cocoa Brown ,538
S7609 .25,8M (V) Plate - for 135mm x 140mm box (5x5),Cocoa Brown ,631
S7612 .25,12M Plate - for 140mm x 210mm box (8x6),Cocoa Brown ,747
S7618 .25,18M Plate - for 210mm x 210mm box (8x8),Cocoa Brown ,978
S7601 .03,1M Plate - for 75mm x 75mm box (3x3),Ice Silver,219
S7602 .03,2M Plate - for 75mm x 75mm box (3x3),Ice Silver,219
S7633 .03,3M Plate - for 100mm x 75mm box (4x3),Ice Silver,247
S7631 .03,1M Plate - for 100mm x 75mm box (4x3),Ice Silver,247
S7632 .03,2M Plate - for 100mm x 75mm box (4x3),Ice Silver,247
S7604 .03,4M Plate - for 135mm x 75mm box (5x3),Ice Silver,270
S7606 .03,6M Plate - for 210mm x 75mm box (8x3),Ice Silver,451
S7608 .03,8M Plate - for 230/210 x 75mm box (9x3 or 8x3),Ice Silver,538
S7609 .03,8M (V) Plate - for 135mm x 140mm box (5x5),Ice Silver,631
S7612 .03,12M Plate - for 140mm x 210mm box (8x6),Ice Silver,747
S7618 .03,18M Plate - for 210mm x 210mm box (8x8),Ice Silver,978
S725A .01,Motor Starter 0.60 A - 1.00 A,Frost White,833
S725B .01,Motor Starter 0.90 A - 1.50 A,Frost White,833
S725C .01,Motor Starter 1.20 A - 2.00 A,Frost White,833
S725D .01,Motor Starter 2.00 A - 3.50 A,Frost White,833
S725E .01,Motor Starter 3.00 A - 5.00 A,Frost White,833
S725F .01,Motor Starter 4.75 A - 7.50 A,Frost White,833
S725G .01,Motor Starter 7.00 A - 11.50 A,Frost White,833
S725H .01,Motor Starter 11.00 A - 18.00 A,Frost White,869
S725J .01,Motor Starter 16.00 A - 25.00 A,Frost White,945
S725A .23,Motor Starter 0.60 A - 1.00 A,Graphite Gray,1010
S725B .23,Motor Starter 0.90 A - 1.50 A,Graphite Gray,1010
S725C .23,Motor Starter 1.20 A - 2.00 A,Graphite Gray,1010
S725D .23,Motor Starter 2.00 A - 3.50 A,Graphite Gray,1010
S725E .23,Motor Starter 3.00 A - 5.00 A,Graphite Gray,1010
S725F .23,Motor Starter 4.75 A - 7.50 A,Graphite Gray,1010
S725G .23,Motor Starter 7.00 A - 11.50 A,Graphite Gray,1010
S725H .23,Motor Starter 11.00 A - 18.00 A,Graphite Gray,1051
S725J .23,Motor Starter 16.00 A - 25.00 A,Graphite Gray,1143
STTSP06 .01,Tiny MCB Single Pole 6A,Frost White,416
STTSP10 .01,Tiny MCB Single Pole 10A,Frost White,416
STTSP16 .01,Tiny MCB Single Pole 16A,Frost White,416
STTSP20 .01,Tiny MCB Single Pole 20A,Frost White,416
STTSP25 .01,Tiny MCB Single Pole 25A,Frost White,416
STTSP32 .01,Tiny MCB Single Pole 32A,Frost White,416
STTDP06 .01,Tiny MCB Double Pole 6A,Frost White,1036
STTDP10 .01,Tiny MCB Double Pole 10A,Frost White,1036
STTDP16 .01,Tiny MCB Double Pole 16A,Frost White,1036
STTDP20 .01,Tiny MCB Double Pole 20A,Frost White,1036
STTDP25 .01,Tiny MCB Double Pole 25A,Frost White,1036
STTDP32 .01,Tiny MCB Double Pole 32A,Frost White,1036
STTSP06 .23,Tiny MCB Single Pole 6A,Graphite Gray,504
STTSP10 .23,Tiny MCB Single Pole 10A,Graphite Gray,504
STTSP16 .23,Tiny MCB Single Pole 16A,Graphite Gray,504
STTSP20 .23,Tiny MCB Single Pole 20A,Graphite Gray,504
STTSP25 .23,Tiny MCB Single Pole 25A,Graphite Gray,504
STTSP32 .23,Tiny MCB Single Pole 32A,Graphite Gray,504
STTDP06 .23,Tiny MCB Double Pole 6A,Graphite Gray,1254
STTDP10 .23,Tiny MCB Double Pole 10A,Graphite Gray,1254
STTDP16 .23,Tiny MCB Double Pole 16A,Graphite Gray,1254
STTDP20 .23,Tiny MCB Double Pole 20A,Graphite Gray,1254
STTDP25 .23,Tiny MCB Double Pole 25A,Graphite Gray,1254
STTDP32 .23,Tiny MCB Double Pole 32A,Graphite Gray,1254
SLBDP32 .01,Tiny Load Break Switch Double Pole 32A,Frost White,885
SLBDP50 .01, Tiny Load Break Switch Double Pole 50A,Frost White,967
SLBDP32 .23,Tiny Load Break Switch Double Pole 32A,Graphite Gray,1071
SLBDP50 .23, Tiny Load Break Switch Double Pole 50A,Graphite Gray,1170
PU3MFT .01,Power Unit Flush Type with MCB + 25A Plug & Socket,Frost White,1451
PU3MBT .01,Power Unit in Surface Box with MCB + 25A Plug & Socket,Frost White,1638
PU4MFT .01,Power Unit Flush Type with Starter + 25A Plug & Socket,Frost White,1894
PU4MBT .01,Power Unit in Surface Box with Starter + 25A Plug & Socket,Frost White,2082
PU6MFT .01,Power Unit Flush Type with MCB + Starter + 25A Plug & Socket,Frost White,2955
PU6MBT .01,Power Unit in Surface Box with MCB + Starter + 25A Plug & Socket,Frost White,3057
SB501 .01,75mm X 75mm X 50mm (3’’ X 3’’) for 1M / 2M plate,Stainless Steel,211
SB503 .01,100mm X 75mm X 50mm (4’’ X 3’’) for 3M plate,Stainless Steel,249
SB504 .01,135mm X 75mm X 50mm (5’’ X 3’’) for 4M plate,Stainless Steel,298
SB506 .01,210mm X 75mm X 50mm (8’’ X 3’’) for 6M plate,Stainless Steel,400
SB508 .01,230mm X 80mm X 50mm (9’’ X 3’’) for 8M plate,Stainless Steel,453
SB509 .01,135mm X 145mm X 50mm (5’’ X 5’’) for 8M-V plate,Stainless Steel,453
SB512 .01,145mm X 210mm X 50mm (8’’ X 6’’) for 12M plate,Stainless Steel,606
SB521 .01,210mm X 210mm X 50mm (8’’ X 8’’) for 21M plate,Stainless Steel,765
MB501 .01,75mm X 75mm X 50mm (3’’ X 3’’) for 1M / 2M plate,Steel Finish,133
MB503 .01,100mm X 75mm X 50mm (4’’ X 3’’) for 3M plate,Steel Finish,164
MB504 .01,135mm X 75mm X 50mm (5’’ X 3’’) for 4M plate,Steel Finish,200
MB506 .01,210mm X 75mm X 50mm (8’’ X 3’’) for 6M plate,Steel Finish,281
MB508 .01,230mm X 80mm X 50mm (9’’ X 3’’) for 8M plate,Steel Finish,315
MB509 .01,135mm X 145mm X 50mm (5’’ X 5’’) for 8M-V plate,Steel Finish,315
MB512 .01,145mm X 210mm X 50mm (8’’ X 6’’) for 12M plate,Steel Finish,447
MB521 .01,210mm X 210mm X 50mm (8’’ X 8’’) for 21M plate,Steel Finish,570
SM702 .01,2 Module Surface Box 94mm X 94mm X 60mm (3.5’’ X 3.5’’),Frost White,246
SM703 .01,3 Module Surface Box 118mm X 94mm X 60mm (4.5’’ X 3.5’’),Frost White,278
SM704 .01,4 Module Surface Box 150mm X 94mm X 60mm (6’’ X 3.5’’),Frost White,325
SM706 .01,6 Module Surface Box 205mm X 94mm X 60mm (8’’ X 3.5’’),Frost White,384
T9100 .31,Switch 6A - 1 Gang One-way - 1 Module,Metal Chrome Glossy,536
T9101 .31,Switch 6A - 1 Gang One-way with indicator - 1 Module,Metal Chrome Glossy,769
T9200 .31,Switch 6A - 1 Gang Two-way - 1 Module,Metal Chrome Glossy,714
T9201 .31,Switch 6A - 1 Gang Two-way with indicator - 1 Module,Metal Chrome Glossy,1029
T9110 .31,Switch 16A - 1 Gang One-way - 1 Module,Metal Chrome Glossy,847
T9111 .31,Switch 16A - 1 Gang One-way with indicator - 1 Module,Metal Chrome Glossy,1053
T9210 .31,Switch 16A - 1 Gang Two-way - 1 Module,Metal Chrome Glossy,889
T9211 .31,Switch 16A - 1 Gang -Two-way with indicator - 1 Module,Metal Chrome Glossy,1151
T9340 .31,Switch 6A - 1 Gang - Bell 1 Module,Metal Chrome Glossy,763
T9341 .31,Switch 6A - 1 Gang - Bell with indicator 1 Module,Metal Chrome Glossy,1025
T9300 .31,Switch 6A - 2 Gang - Both switches One-way 1 Module,Metal Chrome Glossy,914
T9301 .31,Switch 6A - 2 Gang - Both switches One-way with indicator - 1 Module,Metal Chrome Glossy,1256
T9310 .31,Switch 16A - 2 Gang - Both switches One-way - 1 Module,Metal Chrome Glossy,1371
T9311 .31,Switch 16A - 2 Gang - Both switches One-way with indicator - 1 Module,Metal Chrome Glossy,1724
T9601 .31,Switch 6A - 2 Gang - One-way  + Bell with indicator - 1 Module,Metal Chrome Glossy,1403
T9540 .31,Switch 6A - 2 Gang - Both switches Bell - 1 Module,Metal Chrome Glossy,1301
T9541 .31,Switch 6A - 2 Gang - Both switches Bell with indicator - 1 Module,Metal Chrome Glossy,1673
T9700 .31,Switch 6A - 1 Gang - One-way + Blank - 1 Module,Metal Chrome Glossy,645
T9701 .31,Switch 6A - 1 Gang - One-way with indicator + Blank - 1 Module,Metal Chrome Glossy,924
T9800 .31,Switch 6A - 1 Gang - Two-way + Blank - 1 Module,Metal Chrome Glossy,857
T9801 .31,Switch 6A - 1 Gang - Two-way with indicator + Blank - 1 Module,Metal Chrome Glossy,1233
T9710 .31,Switch 16A - 1 Gang - One-way + Blank - 1 Module,Metal Chrome Glossy,1017
T9711 .31,Switch 16A - 1 Gang - One-way with indicator + Blank - 1 Module,Metal Chrome Glossy,1263
T9810 .31,Switch 16A - 1 Gang - Two-way + Blank - 1 Module,Metal Chrome Glossy,1067
T9811 .31,Switch 16A - 1 Gang - Two-way with indicator + Blank - 1 Module,Metal Chrome Glossy,1381
T9740 .31,Switch 6A - 1 Gang - Bell + Blank - 1 Module,Metal Chrome Glossy,916
T9741 .31,Switch 6A - 1 Gang - Bell with indicator + Blank - 1 Module,Metal Chrome Glossy,1230
T9100 .32,Switch 6A - 1 Gang One-way - 1 Module,Metal Chrome Matt,589
T9101 .32,Switch 6A - 1 Gang One-way with indicator - 1 Module,Metal Chrome Matt,845
T9200 .32,Switch 6A - 1 Gang Two-way - 1 Module,Metal Chrome Matt,783
T9201 .32,Switch 6A - 1 Gang Two-way with indicator - 1 Module,Metal Chrome Matt,1128
T9110 .32,Switch 16A - 1 Gang One-way - 1 Module,Metal Chrome Matt,928
T9111 .32,Switch 16A - 1 Gang One-way with indicator - 1 Module,Metal Chrome Matt,1154
T9210 .32,Switch 16A - 1 Gang Two-way - 1 Module,Metal Chrome Matt,975
T9211 .32,Switch 16A - 1 Gang -Two-way with indicator - 1 Module,Metal Chrome Matt,1262
T9340 .32,Switch 6A - 1 Gang - Bell 1 Module,Metal Chrome Matt,836
T9341 .32,Switch 6A - 1 Gang - Bell with indicator 1 Module,Metal Chrome Matt,1122
T9300 .32,Switch 6A - 2 Gang - Both switches One-way 1 Module,Metal Chrome Matt,1003
T9301 .32,Switch 6A - 2 Gang - Both switches One-way with indicator - 1 Module,Metal Chrome Matt,1376
T9310 .32,Switch 16A - 2 Gang - Both switches One-way - 1 Module,Metal Chrome Matt,1503
T9311 .32,Switch 16A - 2 Gang - Both switches One-way with indicator - 1 Module,Metal Chrome Matt,1889
T9601 .32,Switch 6A - 2 Gang - One-way  + Bell with indicator - 1 Module,Metal Chrome Matt,1537
T9540 .32,Switch 6A - 2 Gang - Both switches Bell - 1 Module,Metal Chrome Matt,1424
T9541 .32,Switch 6A - 2 Gang - Both switches Bell with indicator - 1 Module,Metal Chrome Matt,1829
T9700 .32,Switch 6A - 1 Gang - One-way + Blank - 1 Module,Metal Chrome Matt,706
T9701 .32,Switch 6A - 1 Gang - One-way with indicator + Blank - 1 Module,Metal Chrome Matt,1014
T9800 .32,Switch 6A - 1 Gang - Two-way + Blank - 1 Module,Metal Chrome Matt,940
T9801 .32,Switch 6A - 1 Gang - Two-way with indicator + Blank - 1 Module,Metal Chrome Matt,1354
T9710 .32,Switch 16A - 1 Gang - One-way + Blank - 1 Module,Metal Chrome Matt,1115
T9711 .32,Switch 16A - 1 Gang - One-way with indicator + Blank - 1 Module,Metal Chrome Matt,1384
T9810 .32,Switch 16A - 1 Gang - Two-way + Blank - 1 Module,Metal Chrome Matt,1169
T9811 .32,Switch 16A - 1 Gang - Two-way with indicator + Blank - 1 Module,Metal Chrome Matt,1514
T9740 .32,Switch 6A - 1 Gang - Bell + Blank - 1 Module,Metal Chrome Matt,1003
T9741 .32,Switch 6A - 1 Gang - Bell with indicator + Blank - 1 Module,Metal Chrome Matt,1347
T9100 .33,Switch 6A - 1 Gang One-way - 1 Module,Metal Black Glossy,621
T9101 .33,Switch 6A - 1 Gang One-way with indicator - 1 Module,Metal Black Glossy,889
T9200 .33,Switch 6A - 1 Gang Two-way - 1 Module,Metal Black Glossy,826
T9201 .33,Switch 6A - 1 Gang Two-way with indicator - 1 Module,Metal Black Glossy,1188
T9110 .33,Switch 16A - 1 Gang One-way - 1 Module,Metal Black Glossy,978
T9111 .33,Switch 16A - 1 Gang One-way with indicator - 1 Module,Metal Black Glossy,1216
T9210 .33,Switch 16A - 1 Gang Two-way - 1 Module,Metal Black Glossy,1026
T9211 .33,Switch 16A - 1 Gang -Two-way with indicator - 1 Module,Metal Black Glossy,1330
T9340 .33,Switch 6A - 1 Gang - Bell 1 Module,Metal Black Glossy,882
T9341 .33,Switch 6A - 1 Gang - Bell with indicator 1 Module,Metal Black Glossy,1184
T9300 .33,Switch 6A - 2 Gang - Both switches One-way 1 Module,Metal Black Glossy,1056
T9301 .33,Switch 6A - 2 Gang - Both switches One-way with indicator - 1 Module,Metal Black Glossy,1450
T9310 .33,Switch 16A - 2 Gang - Both switches One-way - 1 Module,Metal Black Glossy,1584
T9311 .33,Switch 16A - 2 Gang - Both switches One-way with indicator - 1 Module,Metal Black Glossy,1991
T9601 .33,Switch 6A - 2 Gang - One-way  + Bell with indicator - 1 Module,Metal Black Glossy,1620
T9540 .33,Switch 6A - 2 Gang - Both switches Bell - 1 Module,Metal Black Glossy,1501
T9541 .33,Switch 6A - 2 Gang - Both switches Bell with indicator - 1 Module,Metal Black Glossy,1932
T9700 .33,Switch 6A - 1 Gang - One-way + Blank - 1 Module,Metal Black Glossy,744
T9701 .33,Switch 6A - 1 Gang - One-way with indicator + Blank - 1 Module,Metal Black Glossy,1068
T9800 .33,Switch 6A - 1 Gang - Two-way + Blank - 1 Module,Metal Black Glossy,990
T9801 .33,Switch 6A - 1 Gang - Two-way with indicator + Blank - 1 Module,Metal Black Glossy,1426
T9710 .33,Switch 16A - 1 Gang - One-way + Blank - 1 Module,Metal Black Glossy,1174
T9711 .33,Switch 16A - 1 Gang - One-way with indicator + Blank - 1 Module,Metal Black Glossy,1460
T9810 .33,Switch 16A - 1 Gang - Two-way + Blank - 1 Module,Metal Black Glossy,1231
T9811 .33,Switch 16A - 1 Gang - Two-way with indicator + Blank - 1 Module,Metal Black Glossy,1595
T9740 .33,Switch 6A - 1 Gang - Bell + Blank - 1 Module,Metal Black Glossy,1058
T9741 .33,Switch 6A - 1 Gang - Bell with indicator + Blank - 1 Module,Metal Black Glossy,1421
T9100 .34,Switch 6A - 1 Gang One-way - 1 Module,Metal Mellow Gold,653
T9101 .34,Switch 6A - 1 Gang One-way with indicator - 1 Module,Metal Mellow Gold,937
T9200 .34,Switch 6A - 1 Gang Two-way - 1 Module,Metal Mellow Gold,868
T9201 .34,Switch 6A - 1 Gang Two-way with indicator - 1 Module,Metal Mellow Gold,1250
T9110 .34,Switch 16A - 1 Gang One-way - 1 Module,Metal Mellow Gold,1029
T9111 .34,Switch 16A - 1 Gang One-way with indicator - 1 Module,Metal Mellow Gold,1279
T9210 .34,Switch 16A - 1 Gang Two-way - 1 Module,Metal Mellow Gold,1080
T9211 .34,Switch 16A - 1 Gang -Two-way with indicator - 1 Module,Metal Mellow Gold,1397
T9340 .34,Switch 6A - 1 Gang - Bell 1 Module,Metal Mellow Gold,928
T9341 .34,Switch 6A - 1 Gang - Bell with indicator 1 Module,Metal Mellow Gold,1245
T9300 .34,Switch 6A - 2 Gang - Both switches One-way 1 Module,Metal Mellow Gold,1111
T9301 .34,Switch 6A - 2 Gang - Both switches One-way with indicator - 1 Module,Metal Mellow Gold,1526
T9310 .34,Switch 16A - 2 Gang - Both switches One-way - 1 Module,Metal Mellow Gold,1667
T9311 .34,Switch 16A - 2 Gang - Both switches One-way with indicator - 1 Module,Metal Mellow Gold,2096
T9601 .34,Switch 6A - 2 Gang - One-way  + Bell with indicator - 1 Module,Metal Mellow Gold,1703
T9540 .34,Switch 6A - 2 Gang - Both switches Bell - 1 Module,Metal Mellow Gold,1579
T9541 .34,Switch 6A - 2 Gang - Both switches Bell with indicator - 1 Module,Metal Mellow Gold,2027
T9700 .34,Switch 6A - 1 Gang - One-way + Blank - 1 Module,Metal Mellow Gold,783
T9701 .34,Switch 6A - 1 Gang - One-way with indicator + Blank - 1 Module,Metal Mellow Gold,1124
T9800 .34,Switch 6A - 1 Gang - Two-way + Blank - 1 Module,Metal Mellow Gold,1042
T9801 .34,Switch 6A - 1 Gang - Two-way with indicator + Blank - 1 Module,Metal Mellow Gold,1500
T9710 .34,Switch 16A - 1 Gang - One-way + Blank - 1 Module,Metal Mellow Gold,1235
T9711 .34,Switch 16A - 1 Gang - One-way with indicator + Blank - 1 Module,Metal Mellow Gold,1535
